city,score,rank,region,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG15,SDG16,sdg1_depriv : Severe material deprivation rate in cities (%),sdg1_povrisk : People at risk of poverty or social exclusion (%),"sdg2_obesity : Obesity rate (BMI <30), %","sdg3_traffic : Traffic fatalities (per 10,000 population)","sdg3_infmort : Infant mortality rate (under 1) per 1,000 births","sdg3_doctors : General practitioners per (100,000 pop)",sdg3_lifee : Life expectancy (years),sdg3_smoke : Daily smokers (%),sdg3_active : Active lifestyle (%),sdg4_earlyleav : Early leavers from education (% 18-24),sdg4_secondary : Adults with upper secondary education (% 25-64),sdg4_neet : NEET rate (% 15-24),sdg4_edusat : Satisfaction with schools (%),sdg4_earlyedu : Four year-olds in early childhood education (%),sdg4_adultedu : Adult participation in learning (%),sdg4_uni : University appearances in rankings,sdg5_wgap : Gender wage gap (% male wage),sdg5_assemb : Women in regional assemblies (%),sdg5_emplogap : Gender gap in unemployment (%),sdg6_sectreat : Waste water treated (%),sdg6_consew : Population connected to Sewerage Treatment (%),sdg7_renenergy : Renewable energy generated (%),sdg8_gdppc : GDP per capita ,sdg8_gdp : 5 year average of Annual real GDP Growth Rates,sdg8_ltunemp : Long term unemployment Rate (%),sdg9_rd : R&D expenditure (%),sdg9_intcon : Access to Internet at Home (%),sdg9_patents : Patent applicants (per million pop),sdg9_design : Community design applications (per million pop.),sdg9_road : Potential road accessibility ,sdg9_trains : Direct trains to other cities (per million pop.),sdg10_gini : Gini Coefficient (1-100),sdg11_pm25 : Concentration PM2.5 (microgr/m3),sdg11_nox : Emission of nitrogen oxides (kg/km2),sdg11_sathous : Satisfaction affordable housing (%),sdg11_rburden : Housing cost overburden rate in urban areas (%),"sdg11_evstations : Recharging stations (per 10,000 people)",sdg11_satpubtran : Satisfaction public transport (%),sdg11_culture : Satisfaction cultural facilities (%),"sdg11_sights : Sights & landmarks (per 100,000)","sdg11_museums : Museums (per 100,000)","sdg11_concerts : Concerts & shows (per 100,000)",sdg12_munwaste : Municipal waste (kg/capita),sdg12_recycle : Municipal recycling rate (%),sdg12_chemstatgw : Ground water of good chemical status (%),sdg12_chemstatsw : Surface water of good chemical status (%),sdg13_co2 : CO2 Emissions (tonnes per capita),sdg15_nat2000 : Natura 2000 Area in good quality (%),sdg15_urbgreen : Urban green area (%),sdg15_soilseal : Soil sealing (%),sdg15_ecostatsw : Surface Water of Good Ecological Status (%),"sdg16_burglary : Burglaries (per 100,000)","sdg16_rob : Robberies (per 100,000)","sdg16_homicide : Intentional homocides (per 100,000)",sdg16_safety : Perception of neighborhood safety (%),sdg16_govqual : Quality of local government,Dashboard SDG1,Dashboard SDG2,Dashboard SDG3,Dashboard SDG4,Dashboard SDG5,Dashboard SDG6,Dashboard SDG7,Dashboard SDG8,Dashboard SDG9,Dashboard SDG10,Dashboard SDG11,Dashboard SDG12,Dashboard SDG13,Dashboard SDG15,Dashboard SDG16,Dashboard: Severe material deprivation rate in cities (%),Dashboard: People at risk of poverty or social exclusion (%),"Dashboard: Obesity rate (BMI <30), %","Dashboard: Traffic fatalities (per 10,000 population)","Dashboard: Infant mortality rate (under 1) per 1,000 births","Dashboard: General practitioners per (100,000 pop)",Dashboard: Life expectancy (years),Dashboard: Daily smokers (%),Dashboard: Active lifestyle (%),Dashboard: Early leavers from education (% 18-24),Dashboard: Adults with upper secondary education (% 25-64),Dashboard: NEET rate (% 15-24),Dashboard: Satisfaction with schools (%),Dashboard: Four year-olds in early childhood education (%),Dashboard: Adult participation in learning (%),Dashboard: University appearances in rankings,Dashboard: Gender wage gap (% male wage),Dashboard: Women in regional assemblies (%),Dashboard: Gender gap in unemployment (%),Dashboard: Waste water treated (%),Dashboard: Population connected to Sewerage Treatment (%),Dashboard: Renewable energy generated (%),Dashboard: GDP per capita ,Dashboard: 5 year average of Annual real GDP Growth Rates,Dashboard: Long term unemployment Rate (%),Dashboard: R&D expenditure (%),Dashboard: Access to Internet at Home (%),Dashboard: Patent applicants (per million pop),Dashboard: Community design applications (per million pop.),Dashboard: Potential road accessibility ,Dashboard: Direct trains to other cities (per million pop.),Dashboard: Gini Coefficient (1-100),Dashboard: Concentration PM2.5 (microgr/m3),Dashboard: Emission of nitrogen oxides (kg/km2),Dashboard: Satisfaction affordable housing (%),Dashboard: Housing cost overburden rate in urban areas (%),"Dashboard: Recharging stations (per 10,000 people)",Dashboard: Satisfaction public transport (%),Dashboard: Satisfaction cultural facilities (%),"Dashboard: Sights & landmarks (per 100,000)","Dashboard: Museums (per 100,000)","Dashboard: Concerts & shows (per 100,000)",Dashboard: Municipal waste (kg/capita),Dashboard: Municipal recycling rate (%),Dashboard: Ground water of good chemical status (%),Dashboard: Surface water of good chemical status (%),Dashboard: CO2 Emissions (tonnes per capita),Dashboard: Natura 2000 Area in good quality (%),Dashboard: Urban green area (%),Dashboard: Soil sealing (%),Dashboard: Surface Water of Good Ecological Status (%),"Dashboard: Burglaries (per 100,000)","Dashboard: Robberies (per 100,000)","Dashboard: Intentional homocides (per 100,000)",Dashboard: Perception of neighborhood safety (%),Dashboard: Quality of local government
Zurich,67.5,5,Western Europe,85,78.8,79.5,75.1,48.2,100,34.5,98.2,84.8,69.3,57.4,87.6,54.5,43.9,80.5,0,13.5,9.66,0.176,2.688,520.78,83.9,18.79585476,38.84657926,3.7,90.5,6.1,85,39.8,35.5,7.75,17.82376502,,9.2,,100,,71200,,1.4,,94,385.113,65.66666667,,,32.3,14.30428782,,7,15.8,0.443557628,97,66,51,53,14,318.3777555,52.5,,,7.1,,25.75929284,30.82717588,,360.5585869,41.93635755,0.940879817,98,,green,green,green,orange,orange,green,gray,green,yellow,yellow,orange,green,red,orange,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,red,green,green,red,,orange,,green,,green,,green,,green,green,yellow,,,yellow,yellow,,red,orange,orange,green,green,orange,yellow,orange,green,green,,,red,,yellow,orange,,orange,green,green,green,
Prague,60.1,27,Central and Eastern Europe,82.6,28.2,75.6,71.5,34.3,95.5,25,84.1,57.2,85.3,74,50.4,36.5,44.6,65.7,4.5,9.4,26,0.131,1.631,694.78,80.6,25.15928328,32.12910527,1.6,97.6,2,75,88.7,11.3,3.75,21.16666667,26.2,15.5,100,97,,25000,0.524287833,0.5,2.97,89,30.548,54.66666667,23368954,13.214286,25.9,18.61825888,3.850179376,28,13.4,0.437326436,86,57,340,309,136,353.3967321,34.1,21.2,71.8,9.9,54.93179232,15.44830087,32.47889934,13.7,214.9927997,60.36666698,1.249504103,82,-33.596,yellow,red,yellow,orange,red,green,gray,yellow,orange,green,orange,orange,red,orange,yellow,yellow,green,red,green,green,green,green,red,green,green,green,green,green,yellow,orange,orange,red,orange,red,green,green,,green,orange,green,yellow,yellow,red,yellow,green,yellow,green,orange,green,orange,orange,orange,green,green,green,green,green,yellow,orange,red,yellow,red,yellow,orange,orange,red,yellow,green,green,yellow,orange
Bordeaux,62.6,15,Western Europe,73.2,68.4,60,69,74,98.1,34.5,76.7,37.2,63,52.5,54.8,45.4,50.8,72.1,4.8,17.1,13,0.204,3.785,351.31,83.3,23.8566841,21.00301383,7,79.6,12.8,83,100,20.2,3,14.9817296,47.5,4.3,100,,,32000,-0.824635615,3.9,1.6,88,71.429,13,19619467,4.2857143,34.8,13.9451906,4.61033455,25,6.8,0.433806749,83,28,67,17,14,448.7175168,42.9,58.1,45.8,,30.91623519,23.16455006,27.20764521,43.3,309.8889078,115.9961523,1.131669779,90,93.857,yellow,yellow,orange,orange,yellow,green,gray,orange,orange,yellow,orange,orange,gray,orange,yellow,yellow,yellow,yellow,green,green,green,green,orange,yellow,yellow,yellow,orange,green,green,green,orange,orange,green,green,green,,,green,red,green,orange,yellow,orange,orange,yellow,orange,yellow,yellow,yellow,orange,green,orange,green,orange,orange,orange,orange,yellow,yellow,orange,orange,,orange,orange,yellow,yellow,orange,yellow,green,green,yellow
Ljubljana,62.5,17,Central and Eastern Europe,79.1,46.1,66.9,67.2,81.1,83.3,25,80.2,35.2,86.5,54.8,76.4,46,78.7,76.2,3.8,14.3,20.2,0.277,3.575,354.95,82.6,19.62800823,33.1274783,5,89.6,5.8,79,91.8,13.6,1,0.657174151,35.6,5,100,89,,28000,-0.267506014,2.9,2.66,84,47.726,,,1.1428571,25.4,20.26404494,5.541243933,27,7.2,0.426184794,75,45,53,29,11,542.4772898,57.8,77.8,98.3,,100,42.42732558,13.58059805,47.1,216.7983516,53.73634356,0.555893209,92,-2.004,green,orange,green,orange,yellow,yellow,gray,yellow,orange,green,orange,orange,gray,green,yellow,green,green,orange,green,green,green,green,green,green,green,yellow,green,green,yellow,yellow,red,green,yellow,green,green,orange,,green,red,green,yellow,yellow,orange,,,red,green,orange,yellow,orange,yellow,orange,green,green,orange,orange,orange,orange,green,yellow,green,,green,green,green,green,yellow,green,green,green,orange
Vienna,62.5,16,Central and Eastern Europe,56.7,61.6,72.2,73,54.9,93.7,25,74.1,68.5,82,72.5,98.9,28.8,59.7,62.9,7.2,26,15.2,0.119,4.517,681.16,80.9,26.33646788,34.54169812,9.6,83.8,9.6,71,92.5,20.8,10,21.81069959,36,5.9,100,,,43000,-1.180548895,4.1,3.66,89,129.86,64.33333333,22966978,9.4285714,27.2,18.00136683,4.519353093,18,11.3,0.417652344,95,80,244,117,99,,57.6,97.7,99.5,11.1,64.34385318,23.74777033,33.88032107,42.1,498.9874608,167.2215731,0.910267929,92,46.5641,orange,yellow,orange,yellow,orange,green,gray,orange,yellow,green,orange,green,red,orange,orange,yellow,orange,yellow,green,yellow,green,green,red,green,yellow,yellow,green,yellow,yellow,green,green,red,yellow,yellow,green,,,green,red,green,green,yellow,yellow,yellow,green,orange,green,orange,yellow,red,yellow,orange,green,green,green,green,green,,green,green,green,red,green,orange,orange,yellow,red,orange,green,green,yellow
Helsinki,71.3,3,Northern Europe,85.8,39.9,83.4,74,65.4,100,30.4,76.9,97.8,82.3,55.7,73,52.6,50.3,87.5,2.4,11.8,22.2,0.048,1.764,440.97,82,13.82394665,43.05287669,8.1,88,8.5,79,86,30.4,4,20.33398821,45.5,4.8,100,100,32.1,51000,-1.196832636,1.9,3.61,98,410.553,142.3333333,,,27.1,8.965,18.29369596,8,5.6,0.408962255,93,55,85,61,16,506.2017676,42,89.8,93.7,7.4,29.90269529,27.68653883,35.75341751,48.4,94.24443613,39.73648181,1.587017707,95,158.2649,green,orange,green,yellow,orange,green,orange,yellow,green,green,red,orange,red,orange,yellow,green,green,orange,green,green,green,green,green,green,yellow,yellow,green,green,yellow,green,yellow,red,green,green,green,green,orange,green,red,green,green,green,green,green,,,green,green,red,red,green,orange,green,green,orange,yellow,orange,orange,yellow,green,green,red,orange,yellow,orange,green,green,green,yellow,green,green
Brussels,60.4,25,Western Europe,61.1,70,65.7,56.1,61.6,99.7,34.5,70.6,54.1,56.5,52.4,64.6,51.9,35.5,31.1,9,,12.5,0.142,3.053,381.86,81.3,20.92932084,27.70606501,12.9,72.9,13.3,65,99.1,12.6,5.5,12.99700727,41.6,11.4,,99.8,,51000,-0.874628928,8.3,1.79,85,94.778,37,25034813,37.214286,37.4,18.24726567,4.383760113,19,14.7,0.408641517,71,27,161,98,21,293.8318865,53.7,80,0,7.5,60.33683278,17.93515043,48.75038454,0,967.896622,727.7154854,2.50188684,78,20.1588,orange,yellow,yellow,orange,orange,green,gray,orange,orange,orange,orange,orange,red,red,red,orange,,yellow,green,green,green,green,yellow,green,orange,orange,orange,yellow,green,orange,yellow,orange,green,orange,,green,,green,red,orange,orange,yellow,orange,orange,green,green,orange,orange,yellow,red,orange,orange,yellow,orange,yellow,green,yellow,green,green,yellow,red,red,green,orange,red,red,red,red,orange,orange,yellow
Lyon,64.9,6,Western Europe,73.2,70.6,63.4,72.9,68.6,98.1,34.5,85.5,68.9,60.5,55.9,71.6,64.1,46.9,65.8,4.8,17.1,12.3,0.319,3.033,339.28,83.9,19.17177296,22.66676418,8.4,82.7,8.9,,100,24.5,4.5,14.56834532,47.1,8.2,100,,,43000,0.217039457,2.5,2.77,89,162.236,69,22394240,16.857143,35.8,14,6.511335406,,6.8,0.408577548,,,64,28,27,365.1720358,42.9,80,67,5.6,39.4001404,9.33407688,37.51200892,51.9,302.8849876,196.9236261,0.430081629,,78.8318,yellow,yellow,yellow,yellow,orange,green,gray,yellow,yellow,orange,orange,yellow,red,red,orange,yellow,yellow,yellow,yellow,green,green,green,green,yellow,yellow,yellow,green,,green,green,yellow,orange,green,yellow,green,,,green,orange,green,yellow,yellow,yellow,yellow,green,yellow,orange,yellow,yellow,,green,orange,,,orange,orange,green,yellow,yellow,yellow,yellow,red,yellow,red,red,green,orange,orange,green,,yellow
Barcelona,59.1,30,Southern Europe,67.3,62.5,71.7,52.8,63,100,82.9,82.5,52.8,59.5,60.3,45.6,54.5,36.9,52.5,6,19.4,14.9,0.255,1.633,326.11,83.9,20.83142242,36.56514062,17,60.8,13.7,59,97.2,7.7,12,17.20093823,43.7,8.1,100,,83.3,28000,0.736116073,6.3,1.52,84,70.872,200.3333333,,,36.2,15.25063661,6.7953749,31,11.3,0.378117966,76,24,283,139,93,453.0835291,33.5,41,51.2,7.1,45.21694384,24.65613856,56.22465614,22.5,247.0370713,406.4311473,1.022927831,84,-5.05,yellow,yellow,yellow,red,orange,green,green,yellow,orange,orange,orange,orange,red,orange,orange,yellow,yellow,yellow,green,green,green,green,yellow,green,red,red,orange,orange,green,red,green,red,green,yellow,green,,green,green,orange,yellow,orange,yellow,orange,green,,,orange,yellow,yellow,orange,yellow,orange,green,orange,green,green,green,orange,orange,red,orange,red,yellow,orange,red,orange,yellow,red,green,green,orange
Marseille,61.4,23,Western Europe,73.2,56,59.8,57.4,68.2,98.1,34.5,82.9,52.7,59.5,47.2,61.8,45.4,61.8,35.8,4.8,17.1,17,0.537,3.577,402.79,83.1,21.50848694,24.64613808,11.7,77.5,13.5,65,100,16,3.5,16.00474215,49.6,8.6,100,,,30000,0.196611433,4.4,2.49,89,111.11,28.33333333,20626564,13.214286,36.2,16.5,5.057820358,28,6.8,0.35373639,67,22,65,30,17,541.0260635,42.9,80,67,,10.94447351,55.18039235,21.26917547,51.9,613.3887258,601.6466429,2.25998249,77,18.8156,yellow,yellow,yellow,orange,orange,green,gray,yellow,orange,orange,orange,orange,gray,yellow,red,yellow,yellow,yellow,yellow,green,green,green,yellow,yellow,orange,orange,orange,yellow,green,yellow,orange,red,green,yellow,green,,,green,orange,green,yellow,yellow,orange,orange,yellow,yellow,orange,yellow,yellow,orange,green,orange,yellow,red,orange,orange,orange,orange,yellow,yellow,yellow,,red,green,green,green,red,red,orange,orange,yellow
Rome,55,40,Southern Europe,40.4,82,66.3,44.6,45.5,100,40.8,59.6,48,73.5,46.7,36.3,57.1,38.5,44.4,11.9,28.9,8.6,0.449,2.863,458.27,83.2,,,11,69.7,18.2,50,89,9,6.75,6.706507304,19.6,16.2,,,42.2,35000,-3.831708235,5.9,1.6,82,29.049,72.66666667,21014116,13.5,30.6,17.01734198,3.490419464,19,11.7,0.245765822,30,19,795,191,94,589.6539675,45.1,32.3,30.5,6.7,30.33638004,8.650338718,19.27109891,16.6,290.855194,103.846579,0.610363566,60,-151.16,orange,green,yellow,red,red,gray,yellow,orange,orange,yellow,red,red,red,orange,red,orange,orange,green,yellow,green,green,green,,,orange,orange,red,red,yellow,orange,green,green,red,red,,,yellow,green,red,yellow,orange,orange,red,yellow,green,yellow,yellow,yellow,green,red,yellow,orange,red,red,green,green,green,red,yellow,red,red,red,orange,red,green,orange,yellow,yellow,green,red,red
Porto,53.5,44,Southern Europe,56.9,21.4,65.5,46.1,54.5,100,74.7,62,18.2,61.3,31.7,38.3,56.4,23.3,67.1,8.2,23.3,28.2,0.326,2.867,469.04,81.7,14.20015884,17.4189274,12.8,42,9.9,,95.3,8.5,3.25,12.68115942,26,8.4,100,,75.3,16000,0.214443135,5.4,1.35,74,7.23,,,,35.5,,12.52370968,,7.9,0.244325113,,,94,30,6,643.9120324,30.9,75,27.7,6.8,,3.559403559,66.02934103,45.8,177.6592607,162.3016822,0.174517938,,-12.141,yellow,red,yellow,orange,orange,green,green,orange,red,orange,orange,red,red,red,orange,orange,yellow,red,yellow,green,green,green,green,orange,orange,red,green,,green,orange,orange,orange,orange,yellow,green,,green,orange,orange,yellow,orange,red,red,,,,orange,,orange,,yellow,orange,,,orange,orange,red,red,orange,yellow,red,red,,red,red,yellow,green,orange,green,,orange
Paris,64.7,7,Western Europe,73.2,75.5,65.8,75.7,68.2,98.1,94.9,90.7,81.2,55.3,60.8,31.9,50.6,21,49.6,4.8,17.1,10.7,0.176,3.912,394.41,84.2,22.54545393,26.0450785,7.5,79.5,10.5,71,100,17.9,19.75,17.67700139,49.8,7.3,100,,95,55000,1.294025605,4,2.9,91,227.147,300.3333333,,,37.9,17.5,5.243402334,4,6.8,0.242911343,79,44,468,216,239,468.1887285,42.9,17,5.9,7.7,,14.25182655,73.72691906,28.3,339.1592334,849.8230414,1.924957811,83,55.1796,yellow,yellow,yellow,yellow,orange,green,green,yellow,yellow,orange,orange,red,red,orange,orange,yellow,yellow,yellow,green,green,green,green,orange,green,yellow,yellow,yellow,yellow,green,yellow,green,red,green,yellow,green,,green,green,yellow,green,yellow,green,green,green,,,orange,yellow,yellow,red,green,orange,green,green,green,green,green,orange,yellow,red,red,red,,orange,red,orange,orange,red,yellow,yellow,yellow
Turin,56.4,35,Southern Europe,48.1,80.5,63.6,46.5,51.3,100,46.7,68.5,52.6,70,55.4,50.1,60.3,21,50.4,11.9,22,9.1,0.428,2.971,359.25,83.3,,,11.3,61.3,17.6,62,94.9,7.9,5.5,9.746588694,25.5,12.8,100,,48,30000,-1.840971736,5,2.16,82,116.659,60.66666667,22588096,6.5,32,25.72095826,2.45655032,42,11.7,0.215114469,63,38,109,67,19,480.3212473,45.1,57.4,30.1,6.2,7.700133869,15.11610026,53.04343105,29.3,423.9018733,84.18846013,0.956169639,68,-65.223,orange,green,yellow,red,orange,green,yellow,orange,orange,yellow,orange,orange,red,red,red,orange,yellow,green,yellow,green,green,green,,,orange,red,red,orange,yellow,red,yellow,yellow,orange,orange,green,,yellow,green,red,green,yellow,orange,orange,yellow,green,orange,yellow,red,green,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,orange,yellow,orange,red,red,red,orange,red,orange,red,yellow,green,red,orange
Madrid,59.7,28,Southern Europe,66,62.5,73.2,55.9,66.1,100,60.9,82,57.2,59.5,60.5,70.9,43.6,51,55.3,6,20.6,14.9,0.193,3.272,463.22,85.2,22.22847939,34.58021062,13.9,72.9,10.4,50,98.1,11.5,9.25,16.25282167,46.1,8,100,,61.86,32000,0.392199508,6.1,1.72,89,38.294,119,20275966,13.571429,36.2,9.946102582,5.98571113,37,11.3,0.163660107,72,23,376,112,137,391.6590151,33.5,75,96.5,8.8,18.30017704,28.25141761,28.08332093,53.5,200.7924237,321.6384291,0.787421269,80,41.9102,yellow,yellow,yellow,orange,orange,green,green,yellow,orange,orange,orange,yellow,red,orange,orange,yellow,yellow,yellow,green,green,green,green,yellow,green,orange,orange,yellow,red,green,orange,green,red,green,yellow,green,,green,green,orange,yellow,orange,yellow,orange,green,yellow,yellow,orange,green,yellow,yellow,yellow,red,green,orange,green,green,green,yellow,orange,yellow,green,red,orange,yellow,yellow,green,green,red,green,yellow,yellow
Stockholm,74.2,2,Northern Europe,84,74.6,85.4,79,76,100,91.9,93,97.7,72.8,57.4,54.8,48.1,48.2,79.1,1.6,14.4,11,0.043,1.684,483.04,82.9,9.596436864,37.02248407,8.1,86.9,5.8,67,93.5,31.6,9.5,16.68307087,49.7,2.7,,100,92.1,65000,1.091976876,1.2,3.81,97,396.849,143.3333333,,,30.9,5.514511003,5.914210285,7,10.6,0.163063119,79,55,95,69,19,507.9113851,46.8,98.5,0,8.1,37.13646532,24.13924473,24.61717225,24.1,270.0237103,133.7998995,1.057706716,96,153.5958,green,yellow,green,yellow,yellow,green,green,yellow,green,yellow,red,orange,red,orange,yellow,green,green,yellow,green,green,green,green,green,green,yellow,yellow,green,yellow,yellow,green,green,red,green,green,,green,green,green,yellow,green,green,green,green,green,,,yellow,green,yellow,red,yellow,red,green,green,orange,yellow,yellow,orange,yellow,green,red,red,yellow,orange,yellow,orange,yellow,yellow,green,green,green
Warsaw,57.8,31,Central and Eastern Europe,71.7,37.2,60.5,60.4,61.1,91,5.9,88.1,52.2,69.8,49,58.7,51.9,20.6,63.8,6,15.5,23.1,0.375,3.331,281.13,78.4,20.30988435,37.61886043,3.9,93.6,7.4,61,91,5.7,2.25,10.85626911,37.3,11.3,,,8.2,22000,2.705698829,1.5,1.74,84,36.415,120.3333333,20433918,7.9285714,32.1,26.29567719,6.573209592,24,9,0.142828985,76,30,118,60,19,300.0388374,33.8,94.4,2.2,7.5,12.09312529,20.59227186,42.39786983,3,,66.78683345,,90,-61.361,yellow,orange,yellow,orange,orange,gray,red,yellow,orange,yellow,red,orange,red,red,yellow,yellow,yellow,orange,yellow,green,yellow,orange,yellow,green,green,green,green,orange,yellow,red,orange,yellow,yellow,orange,,,red,yellow,green,green,orange,yellow,orange,green,yellow,orange,yellow,red,yellow,orange,yellow,red,green,orange,yellow,yellow,yellow,green,orange,green,red,red,orange,orange,red,red,,green,,green,orange
Nicosia,53.7,43,Southern Europe,51.2,41.2,65.6,51.1,43.2,100,53.8,53.2,16.4,65,50.9,43.6,39.7,42.2,65.6,9.5,25.2,21.8,,,376.84,82.7,,,8.5,81.1,16.1,79,85.6,6.9,0,16.8445122,17.9,8.6,100,,,21000,-2.415918862,4.5,0.48,79,2.9,21.33333333,,,34,17.03178082,2.47770332,43,3.5,0.116986156,41,,135,63,13,,16.1,55,74.2,9.4,,11.74327082,27.81687883,40,378.0992557,18.24984031,0.818903091,75,23.0092,orange,orange,gray,red,red,green,gray,orange,red,yellow,red,orange,red,orange,orange,orange,orange,orange,,,green,green,,,yellow,yellow,red,green,yellow,red,red,red,red,yellow,green,,,yellow,red,green,red,orange,red,orange,,,yellow,yellow,green,yellow,green,red,red,,yellow,yellow,orange,,red,orange,yellow,red,,red,yellow,yellow,orange,green,green,orange,yellow
Zagreb,57.1,32,Central and Eastern Europe,53.4,46.7,59.6,44.2,65.3,83.6,25,55.4,25.4,72.3,53.3,48.3,46,77.8,65.4,8.2,26.4,20,0.25,3.571,333.73,77.6,,,3.7,81.4,14.4,71,61.1,2.6,0.5,5.638474295,32,9.9,,91,,15000,-0.6592046,4.8,1.09,78,0.631,,20699998,1.8571429,31.1,21.83658086,7.693007741,50,5.9,0.111989468,76,31,56,39,13,394.5846317,23.5,,,,87.40546445,34.2555481,13.71112428,,160.6426702,96.18650975,1.493192907,94,-113.359,orange,orange,yellow,red,orange,orange,gray,orange,red,yellow,orange,orange,gray,yellow,orange,orange,orange,orange,green,green,green,orange,,,green,yellow,orange,yellow,red,red,red,green,yellow,orange,,orange,,orange,red,green,orange,orange,red,,yellow,red,yellow,orange,yellow,green,green,red,green,yellow,orange,orange,orange,yellow,red,,,,green,yellow,green,,green,yellow,green,green,red
Vilnius,56.8,33,Central and Eastern Europe,41.6,27.2,60.7,51.7,63,97.1,25,82,26.8,56.5,48.9,88.5,46,56.7,42.2,11.2,29.6,26.3,0.348,3.081,446.69,74.9,24.17878126,39.44573327,5.4,94.8,9.1,52,84.5,5.9,0.25,11.95652174,20.7,0.4,100,98.1,,19000,4.797109112,2.7,1.04,75,21.901,17,15676871,,37.4,22.98863579,3.85899404,33,5.6,0.111777221,56,39,83,44,9,366.820716,48.1,100,98.7,,18.72580587,38.82379394,24.2013391,51.6,222.9334565,143.5716299,5.961451763,80,-61.191,orange,red,orange,red,orange,green,gray,yellow,red,orange,orange,yellow,gray,yellow,orange,orange,orange,red,yellow,green,green,red,orange,green,yellow,green,green,red,yellow,red,red,orange,orange,green,green,green,,yellow,green,green,orange,red,red,orange,orange,,orange,orange,green,orange,green,red,orange,green,orange,orange,orange,yellow,yellow,green,green,,orange,green,yellow,green,yellow,yellow,red,yellow,orange
Sofia,55.2,38,Central and Eastern Europe,17.4,31.3,61.5,47.9,61.6,96.4,25,67.9,26.7,56.5,45.7,63.8,66.7,68.3,28.6,23.4,29.3,25,0.299,2.478,436.82,75.7,,,4.7,91.9,8,47,79.9,4,0,10.72961373,25.8,5,,99.45,,13000,1.061777308,1.7,1.52,71,13.636,36.33333333,17535538,3.5,37.4,21.8637792,4.493350468,41,17.7,0.083104356,74,13,50,21,11,566.5671792,36.2,100,69.7,5.2,61.69649094,29.81925702,25.64878504,48.5,780.3498996,111.8131331,1.43543887,63,-259.795,orange,orange,orange,red,orange,green,gray,orange,red,orange,red,orange,red,yellow,red,red,orange,orange,green,green,green,red,,,green,green,green,red,orange,red,red,yellow,orange,green,,green,,orange,yellow,green,orange,red,red,orange,yellow,orange,orange,orange,yellow,yellow,red,red,green,red,orange,orange,orange,red,orange,green,yellow,red,green,yellow,yellow,green,red,yellow,green,red,red
Bucharest,54.4,41,Central and Eastern Europe,38.1,39,64.6,43.8,57.2,37.1,25,84.7,31.8,60.3,45,61.5,60.9,32.2,58.4,14.3,25,22.5,,4.297,553.07,76.7,,,5.5,89.1,9.8,48,75.3,1.3,0.5,3.625377644,21.4,11.6,69.54679223,82.4,,19000,4.286501349,0.6,0.92,88,15.751,24.66666667,17888110,5.3571429,35.9,22.8870034,2.450796693,42,9.6,0.043791705,48,19,105,47,24,,13.9,86.6,93.1,6.1,,7.852550722,62.98012858,59.5,136.0279829,32.62482004,1.204271881,76,-222.701,orange,orange,orange,red,orange,red,gray,yellow,red,orange,red,orange,red,red,orange,red,orange,orange,,yellow,green,red,,,yellow,yellow,green,red,orange,red,red,green,orange,orange,red,red,,yellow,green,green,red,yellow,red,orange,yellow,orange,orange,orange,green,yellow,yellow,red,orange,red,yellow,orange,yellow,,red,green,green,red,,red,red,green,green,green,green,orange,red
Athens,48.6,45,Southern Europe,15.4,31.6,74.2,42.4,55.4,100,29.7,53.8,23.9,60,57.9,15.3,30.8,5,34.9,20.5,31.1,24.9,0.301,1.798,920.18,81,,,2.8,82.8,13,50,29.5,6.6,4.75,17.77956557,48.5,15.4,100,,31.39,22000,-0.166357715,16.7,1.15,81,12.798,,,,36,14.99841236,4.4803928,62,43.7,0.043247124,72,17,112,97,32,,17.2,,,10.8,,6.908063688,72.03261428,,750.8594989,56.45329722,1.634443216,56,-95.777,orange,orange,yellow,red,red,green,orange,red,orange,orange,red,gray,red,red,red,red,orange,orange,yellow,green,green,green,,,green,yellow,orange,red,red,red,yellow,red,green,red,green,,orange,yellow,red,red,orange,orange,red,,,,orange,yellow,yellow,green,red,red,green,red,yellow,green,green,,red,,,red,,red,red,,red,green,yellow,red,red
Riga,56.3,36,Central and Eastern Europe,50.6,35.6,58,53.9,51.6,93.7,25,84.2,26.9,64.5,45.5,52.9,46,63.3,46.2,8.5,28.2,23.6,0.203,2.77,319.79,74.9,,,8.6,90.4,10.3,62,92.6,7.5,0,15.4589372,17.1,3.5,100,,,21000,5.539447786,3.3,0.63,79,26.991,18,15128167,,34.2,16.7957377,6.782769143,23,7,0.031180672,67,29,69,57,10,352.9097103,25.2,100,2,,76.36045582,20.95400901,30.65393347,51.4,265.0357097,102.8962167,4.053487324,78,-66.852,orange,orange,orange,red,red,green,gray,yellow,red,yellow,orange,orange,gray,orange,orange,orange,orange,orange,green,green,green,red,,,yellow,green,yellow,orange,yellow,red,red,red,red,green,green,,,yellow,green,green,red,orange,red,orange,orange,,yellow,yellow,yellow,orange,green,red,yellow,orange,orange,yellow,orange,yellow,orange,green,red,,green,orange,orange,green,yellow,yellow,red,orange,orange
